Iteration,Element No.,Algorithm,Time
20,40000,Library qsort,0.023000
20,40000,Heapsort,0.022000
20,40000,Bubblesort,4.017000
20,40000,Shakersort,3.437000
20,40000,Insertionsort,0.904000
20,40000,Selectionsort,1.800000
21,40000,Recursive Quicksort,0.005000
21,40000,Library qsort,0.022000
21,40000,Heapsort,0.022000
21,40000,Bubblesort,4.014000
21,40000,Shakersort,3.446000
21,40000,Insertionsort,0.905000
21,40000,Selectionsort,1.794000
22,40000,Recursive Quicksort,0.006000
22,40000,Library qsort,0.022000
22,40000,Heapsort,0.022000
22,40000,Bubblesort,4.030000
22,40000,Shakersort,3.447000
22,40000,Insertionsort,0.902000
22,40000,Selectionsort,1.802000
23,40000,Recursive Quicksort,0.006000
23,40000,Library qsort,0.022000
23,40000,Heapsort,0.021000
23,40000,Bubblesort,4.034000
23,40000,Shakersort,3.436000
23,40000,Insertionsort,0.912000
23,40000,Selectionsort,1.797000
24,40000,Recursive Quicksort,0.005000
24,40000,Library qsort,0.022000
24,40000,Heapsort,0.022000
24,40000,Bubblesort,4.034000
24,40000,Shakersort,3.433000
24,40000,Insertionsort,0.904000
24,40000,Selectionsort,1.794000
25,40000,Recursive Quicksort,0.006000
25,40000,Library qsort,0.023000
25,40000,Heapsort,0.023000
25,40000,Bubblesort,4.012000
25,40000,Shakersort,3.429000
25,40000,Insertionsort,0.897000
25,40000,Selectionsort,1.784000
1,50000,Recursive Quicksort,0.008000
1,50000,Library qsort,0.029000
1,50000,Heapsort,0.028000
1,50000,Bubblesort,6.138000
1,50000,Shakersort,5.367000
1,50000,Insertionsort,1.403000
1,50000,Selectionsort,2.794000
2,50000,Recursive Quicksort,0.007000
2,50000,Library qsort,0.029000
2,50000,Heapsort,0.029000
2,50000,Bubblesort,6.166000
2,50000,Shakersort,5.376000
2,50000,Insertionsort,1.411000
2,50000,Selectionsort,2.794000
3,50000,Recursive Quicksort,0.007000
3,50000,Library qsort,0.028000
3,50000,Heapsort,0.030000
3,50000,Bubblesort,6.157000
3,50000,Shakersort,5.381000
3,50000,Insertionsort,1.400000
3,50000,Selectionsort,2.809000
4,50000,Recursive Quicksort,0.007000
4,50000,Library qsort,0.029000
4,50000,Heapsort,0.028000
4,50000,Bubblesort,6.183000
4,50000,Shakersort,5.384000
4,50000,Insertionsort,1.422000
4,50000,Selectionsort,2.804000
5,50000,Recursive Quicksort,0.008000
5,50000,Library qsort,0.028000
5,50000,Heapsort,0.028000
5,50000,Bubblesort,6.165000
5,50000,Shakersort,5.388000
5,50000,Insertionsort,1.411000
5,50000,Selectionsort,2.805000
6,50000,Recursive Quicksort,0.007000
6,50000,Library qsort,0.029000
6,50000,Heapsort,0.028000
6,50000,Bubblesort,6.163000
6,50000,Shakersort,5.391000
6,50000,Insertionsort,1.413000
6,50000,Selectionsort,2.805000
7,50000,Recursive Quicksort,0.008000
7,50000,Library qsort,0.029000
7,50000,Heapsort,0.028000
7,50000,Bubblesort,6.169000
7,50000,Shakersort,5.387000
7,50000,Insertionsort,1.406000
7,50000,Selectionsort,2.804000
8,50000,Recursive Quicksort,0.007000
8,50000,Library qsort,0.028000
8,50000,Heapsort,0.028000
8,50000,Bubblesort,6.153000
8,50000,Shakersort,5.367000
8,50000,Insertionsort,1.404000
8,50000,Selectionsort,2.812000
9,50000,Recursive Quicksort,0.008000
9,50000,Library qsort,0.030000
9,50000,Heapsort,0.028000
9,50000,Bubblesort,6.183000
9,50000,Shakersort,5.408000
9,50000,Insertionsort,1.417000
9,50000,Selectionsort,2.881000
10,50000,Recursive Quicksort,0.007000
10,50000,Library qsort,0.030000
10,50000,Heapsort,0.029000
10,50000,Bubblesort,6.161000
10,50000,Shakersort,5.383000
10,50000,Insertionsort,1.409000
10,50000,Selectionsort,2.805000
11,50000,Recursive Quicksort,0.007000
11,50000,Library qsort,0.028000
11,50000,Heapsort,0.028000
11,50000,Bubblesort,6.153000
11,50000,Shakersort,5.381000
11,50000,Insertionsort,1.406000
11,50000,Selectionsort,2.807000
12,50000,Recursive Quicksort,0.008000
12,50000,Library qsort,0.028000
12,50000,Heapsort,0.028000
12,50000,Bubblesort,6.173000
12,50000,Shakersort,5.388000
12,50000,Insertionsort,1.413000
12,50000,Selectionsort,2.810000
13,50000,Recursive Quicksort,0.007000
13,50000,Library qsort,0.028000
13,50000,Heapsort,0.029000
13,50000,Bubblesort,6.154000
13,50000,Shakersort,5.380000
13,50000,Insertionsort,1.407000
13,50000,Selectionsort,2.799000
14,50000,Recursive Quicksort,0.008000
14,50000,Library qsort,0.031000
14,50000,Heapsort,0.028000
14,50000,Bubblesort,6.143000
14,50000,Shakersort,5.379000
14,50000,Insertionsort,1.411000
14,50000,Selectionsort,2.793000
15,50000,Recursive Quicksort,0.007000
15,50000,Library qsort,0.029000
15,50000,Heapsort,0.027000
15,50000,Bubblesort,6.147000
15,50000,Shakersort,5.378000
15,50000,Insertionsort,1.409000
15,50000,Selectionsort,2.795000
16,50000,Recursive Quicksort,0.007000
16,50000,Library qsort,0.028000
16,50000,Heapsort,0.028000
16,50000,Bubblesort,6.163000
16,50000,Shakersort,5.379000
16,50000,Insertionsort,1.414000
16,50000,Selectionsort,2.793000
17,50000,Recursive Quicksort,0.008000
17,50000,Library qsort,0.027000
17,50000,Heapsort,0.027000
17,50000,Bubblesort,6.161000
